airport,date,total_flights,delayed_flights,avg_delay
ATL,2023-08-15,84,55,88.21818181818182
ATL,2023-08-16,74,57,97.19298245614036
ATL,2023-08-17,65,41,87.17073170731707
ATL,2023-08-18,90,50,98.1
ATL,2023-08-19,91,46,90.76086956521739
ATL,2023-08-20,96,63,90.80952380952381
ATL,2023-08-21,91,56,99.625
ATL,2023-08-22,85,52,84.07692307692308
ATL,2023-08-23,73,49,91.77551020408163
ATL,2023-08-24,88,47,94.19148936170212
ATL,2023-08-25,81,40,95.75
ATL,2023-08-26,92,55,96.78181818181818
ATL,2023-08-27,90,61,110.8688524590164
ATL,2023-08-28,83,50,91.78
ATL,2023-08-29,66,38,90.97368421052632
ATL,2023-08-30,90,51,83.45098039215686
ATL,2023-08-31,87,54,100.24074074074075
ATL,2023-09-01,89,54,89.25925925925925
ATL,2023-09-02,83,39,101.43589743589743
ATL,2023-09-03,82,49,101.87755102040816
ATL,2023-09-04,77,45,96.88888888888889
ATL,2023-09-05,64,46,94.19565217391305
ATL,2023-09-06,79,49,101.46938775510205
ATL,2023-09-07,71,47,88.34042553191489
ATL,2023-09-08,80,52,90.09615384615384
ATL,2023-09-09,80,51,99.84313725490196
ATL,2023-09-10,79,55,112.30909090909091
ATL,2023-09-11,89,51,100.3921568627451
ATL,2023-09-12,67,40,86.6
ATL,2023-09-13,75,48,91.41666666666667
ATL,2023-09-14,89,57,88.91228070175438
ATL,2023-09-15,93,48,85.02083333333333
ATL,2023-09-16,74,45,107.11111111111111
ATL,2023-09-17,76,53,101.90566037735849
ATL,2023-09-18,97,50,90.74
ATL,2023-09-19,69,40,97.925
ATL,2023-09-20,72,48,84.9375
ATL,2023-09-21,79,43,90.53488372093024
ATL,2023-09-22,76,45,94.33333333333333
ATL,2023-09-23,73,41,110.8780487804878
ATL,2023-09-24,90,57,85.28070175438596
ATL,2023-09-25,66,38,100.15789473684211
ATL,2023-09-26,80,45,95.91111111111111
ATL,2023-09-27,77,43,101.34883720930233
ATL,2023-09-28,62,44,93.11363636363636
ATL,2023-09-29,81,41,96.48780487804878
ATL,2023-09-30,78,45,89.35555555555555
ATL,2023-10-01,98,53,94.41509433962264
ATL,2023-10-02,63,38,99.23684210526316
ATL,2023-10-03,73,41,92.4390243902439
ATL,2023-10-04,75,44,96.63636363636364
ATL,2023-10-05,64,35,84.22857142857143
ATL,2023-10-06,70,37,89.78378378378379
ATL,2023-10-07,63,45,112.8
ATL,2023-10-08,76,46,100.06521739130434
ATL,2023-10-09,68,47,97.85106382978724
ATL,2023-10-10,77,53,105.30188679245283
ATL,2023-10-11,75,44,92.81818181818181
ATL,2023-10-12,85,44,91.88636363636364
ATL,2023-10-13,72,39,93.87179487179488
ATL,2023-10-14,85,56,91.32142857142857
ATL,2023-10-15,88,51,91.2156862745098
ATL,2023-10-16,101,57,101.85964912280701
ATL,2023-10-17,105,63,98.15873015873017
ATL,2023-10-18,106,67,95.70149253731343
ATL,2023-10-19,83,51,85.76470588235294
ATL,2023-10-20,87,53,92.13207547169812
ATL,2023-10-21,84,49,99.22448979591837
ATL,2023-10-22,83,45,100.6
ATL,2023-10-23,83,46,87.08695652173913
ATL,2023-10-24,94,57,85.08771929824562
ATL,2023-10-25,78,52,103.17307692307692
ATL,2023-10-26,82,45,92.26666666666667
ATL,2023-10-27,77,51,88.15686274509804
ATL,2023-10-28,89,48,102.97916666666667
ATL,2023-10-29,81,59,89.7457627118644
ATL,2023-10-30,88,55,106.89090909090909
ATL,2023-10-31,92,58,99.20689655172414
ATL,2023-11-01,69,42,83.23809523809524
ATL,2023-11-02,71,47,89.19148936170212
ATL,2023-11-03,84,46,97.3913043478261
ATL,2023-11-04,82,52,96.51923076923077
ATL,2023-11-05,75,41,91.82926829268293
ATL,2023-11-06,73,45,104.26666666666667
ATL,2023-11-07,75,53,97.9622641509434
ATL,2023-11-08,87,54,97.05555555555556
ATL,2023-11-09,92,53,88.47169811320755
ATL,2023-11-10,81,49,91.48979591836735
ATL,2023-11-11,86,49,89.22448979591837
ATL,2023-11-12,83,49,95.26530612244898
ATL,2023-11-13,86,48,91.54166666666667
ATL,2023-11-14,78,50,102.5
ATL,2023-11-15,87,55,103.2
ATL,2023-11-16,77,41,84.3170731707317
ATL,2023-11-17,89,53,94.05660377358491
ATL,2023-11-18,85,49,93.18367346938776
ATL,2023-11-19,75,48,96.14583333333333
ATL,2023-11-20,89,57,92.71929824561404
ATL,2023-11-21,91,51,112.94117647058823
ATL,2023-11-22,74,37,82.0
ATL,2023-11-23,82,43,92.55813953488372
ATL,2023-11-24,86,47,94.63829787234043
ATL,2023-11-25,68,43,89.3953488372093
ATL,2023-11-26,77,45,96.75555555555556
ATL,2023-11-27,68,42,100.54761904761905
ATL,2023-11-28,79,44,84.43181818181819
ATL,2023-11-29,88,53,89.9622641509434
ATL,2023-11-30,63,33,100.03030303030303
ATL,2023-12-01,86,54,91.11111111111111
ATL,2023-12-02,75,44,97.75
ATL,2023-12-03,92,58,98.67241379310344
ATL,2023-12-04,87,59,100.50847457627118
ATL,2023-12-05,86,49,96.48979591836735
ATL,2023-12-06,100,53,99.09433962264151
ATL,2023-12-07,86,47,74.36170212765957
ATL,2023-12-08,83,53,92.24528301886792
ATL,2023-12-09,73,47,93.04255319148936
ATL,2023-12-10,71,45,100.53333333333333
ATL,2023-12-11,83,53,97.22641509433963
ATL,2023-12-12,85,60,88.41666666666667
ATL,2023-12-13,84,58,107.22413793103448
ATL,2023-12-14,85,48,96.47916666666667
ATL,2023-12-15,96,58,90.25862068965517
ATL,2023-12-16,64,39,82.82051282051282
ATL,2023-12-17,87,50,104.06
ATL,2023-12-18,86,47,101.53191489361703
ATL,2023-12-19,93,55,94.76363636363637
ATL,2023-12-20,91,59,99.13559322033899
ATL,2023-12-21,85,46,87.15217391304348
ATL,2023-12-22,101,68,90.57352941176471
ATL,2023-12-23,86,46,100.47826086956522
ATL,2023-12-24,89,50,89.32
ATL,2023-12-25,84,56,94.80357142857143
ATL,2023-12-26,95,59,81.66101694915254
ATL,2023-12-27,92,64,92.984375
ATL,2023-12-28,77,45,96.13333333333334
ATL,2023-12-29,85,59,92.84745762711864
ATL,2023-12-30,90,53,79.41509433962264
ATL,2023-12-31,73,48,92.33333333333333
DEN,2023-01-01,93,53,88.81132075471699
DEN,2023-01-02,83,50,96.92
DEN,2023-01-03,64,43,94.02325581395348
DEN,2023-01-04,63,42,97.5952380952381
DEN,2023-01-05,80,54,78.16666666666667
DEN,2023-01-06,76,45,95.17777777777778
DEN,2023-01-07,82,47,91.68085106382979
DEN,2023-01-08,62,41,86.90243902439025
DEN,2023-01-09,85,52,92.13461538461539
DEN,2023-01-10,77,48,104.39583333333333
DEN,2023-01-11,73,45,85.35555555555555
DEN,2023-01-12,80,44,92.72727272727273
DEN,2023-01-13,79,51,90.68627450980392
DEN,2023-01-14,94,49,74.12244897959184
DEN,2023-01-15,72,42,96.11904761904762
DEN,2023-01-16,82,49,104.14285714285714
DEN,2023-01-17,94,61,91.73770491803279
DEN,2023-01-18,92,62,94.80645161290323
DEN,2023-01-19,93,58,98.15517241379311
DEN,2023-01-20,85,51,93.15686274509804
DEN,2023-01-21,88,53,84.20754716981132
DEN,2023-01-22,83,46,93.69565217391305
DEN,2023-01-23,85,62,92.45161290322581
DEN,2023-01-24,80,59,91.40677966101696
DEN,2023-01-25,76,43,92.06976744186046
DEN,2023-01-26,71,40,102.4
DEN,2023-01-27,78,45,104.02222222222223
DEN,2023-01-28,80,43,95.34883720930233
DEN,2023-01-29,91,58,91.03448275862068
DEN,2023-01-30,79,41,76.2439024390244
DEN,2023-01-31,80,44,106.88636363636364
DEN,2023-02-01,78,39,94.3076923076923
DEN,2023-02-02,62,44,87.6590909090909
DEN,2023-02-03,68,38,105.78947368421052
DEN,2023-02-04,67,50,84.96
DEN,2023-02-05,76,47,96.97872340425532
DEN,2023-02-06,91,53,84.67924528301887
DEN,2023-02-07,92,44,105.54545454545455
DEN,2023-02-08,66,44,94.02272727272727
DEN,2023-02-09,77,47,104.02127659574468
DEN,2023-02-10,74,41,87.53658536585365
DEN,2023-02-11,96,56,84.98214285714286
DEN,2023-02-12,79,48,88.35416666666667
DEN,2023-02-13,70,46,86.23913043478261
DEN,2023-02-14,87,51,93.52941176470588
DEN,2023-02-15,70,32,99.59375
DEN,2023-02-16,77,54,83.07407407407408
DEN,2023-02-17,63,39,100.2051282051282
DEN,2023-02-18,98,65,102.35384615384615
DEN,2023-02-19,83,50,102.82
DEN,2023-02-20,87,53,97.05660377358491
DEN,2023-02-21,69,34,104.29411764705883
DEN,2023-02-22,95,55,93.36363636363636
DEN,2023-02-23,75,49,100.44897959183673
DEN,2023-02-24,74,47,95.04255319148936
DEN,2023-02-25,85,53,98.86792452830188
DEN,2023-02-26,72,34,78.47058823529412
DEN,2023-02-27,77,53,80.98113207547169
DEN,2023-02-28,77,48,99.72916666666667
DEN,2023-03-01,93,51,85.92156862745098
DEN,2023-03-02,70,38,106.3157894736842
DEN,2023-03-03,82,41,94.51219512195122
DEN,2023-03-04,84,52,95.82692307692308
DEN,2023-03-05,78,46,85.52173913043478
DEN,2023-03-06,93,58,96.56896551724138
DEN,2023-03-07,67,44,89.79545454545455
DEN,2023-03-08,78,50,114.28
DEN,2023-03-09,72,46,96.8695652173913
DEN,2023-03-10,65,39,86.64102564102564
DEN,2023-03-11,97,57,88.14035087719299
DEN,2023-03-12,85,51,91.49019607843137
DEN,2023-03-13,72,42,98.28571428571429
DEN,2023-03-14,84,49,94.6938775510204
DEN,2023-03-15,67,45,88.35555555555555
DEN,2023-03-16,71,47,83.55319148936171
DEN,2023-03-17,89,51,96.01960784313725
DEN,2023-03-18,82,52,101.1923076923077
DEN,2023-03-19,77,54,106.0
DEN,2023-03-20,66,47,104.55319148936171
DEN,2023-03-21,84,48,92.125
DEN,2023-03-22,95,66,95.0
DEN,2023-03-23,87,52,88.1923076923077
DEN,2023-03-24,77,55,102.03636363636363
DEN,2023-03-25,99,64,96.515625
DEN,2023-03-26,73,47,98.46808510638297
DEN,2023-03-27,87,52,87.13461538461539
DEN,2023-03-28,71,39,90.2051282051282
DEN,2023-03-29,85,57,89.0701754385965
DEN,2023-03-30,79,49,89.75510204081633
DEN,2023-03-31,85,57,83.9298245614035
DEN,2023-04-01,67,45,89.24444444444444
DEN,2023-04-02,83,54,85.92592592592592
DEN,2023-04-03,69,45,86.11111111111111
DEN,2023-04-04,79,47,99.97872340425532
DEN,2023-04-05,70,53,104.62264150943396
DEN,2023-04-06,84,56,79.53571428571429
DEN,2023-04-07,62,42,92.02380952380952
DEN,2023-04-08,77,39,95.43589743589743
DEN,2023-04-09,85,50,93.26
DEN,2023-04-10,86,61,93.75409836065573
DEN,2023-04-11,62,28,105.28571428571429
DEN,2023-04-12,72,45,90.44444444444444
DEN,2023-04-13,92,56,99.875
DEN,2023-04-14,104,57,86.21052631578948
DEN,2023-04-15,86,58,99.29310344827586
DEN,2023-04-16,70,38,100.3157894736842
DEN,2023-04-17,84,44,90.1590909090909
DEN,2023-04-18,93,56,93.96428571428571
DEN,2023-04-19,78,40,89.125
DEN,2023-04-20,96,60,91.75
DEN,2023-04-21,77,50,96.38
DEN,2023-04-22,91,52,86.3076923076923
DEN,2023-04-23,78,48,92.33333333333333
DEN,2023-04-24,75,47,98.23404255319149
DEN,2023-04-25,63,40,75.85
DEN,2023-04-26,81,55,89.50909090909092
DEN,2023-04-27,78,46,99.80434782608695
DEN,2023-04-28,86,60,87.58333333333333
DEN,2023-04-29,72,41,98.39024390243902
DEN,2023-04-30,82,48,91.89583333333333
DEN,2023-05-01,81,53,86.20754716981132
DEN,2023-05-02,80,46,87.56521739130434
DEN,2023-05-03,73,44,83.13636363636364
DEN,2023-05-04,89,54,100.03703703703704
DEN,2023-05-05,78,44,93.9090909090909
DEN,2023-05-06,83,55,96.32727272727273
DEN,2023-05-07,70,43,96.90697674418605
DEN,2023-05-08,84,44,95.02272727272727
DEN,2023-05-09,75,51,97.47058823529412
DEN,2023-05-10,66,37,88.89189189189189
DEN,2023-05-11,91,63,88.60317460317461
DEN,2023-05-12,89,60,100.11666666666666
DEN,2023-05-13,81,46,80.69565217391305
DEN,2023-05-14,92,57,97.3157894736842
DEN,2023-05-15,80,53,101.24528301886792
DEN,2023-05-16,89,54,97.33333333333333
DEN,2023-05-17,80,49,88.81632653061224
DEN,2023-05-18,85,54,83.53703703703704
DEN,2023-05-19,82,46,80.78260869565217
DEN,2023-05-20,90,48,81.33333333333333
DEN,2023-05-21,93,60,94.05
DEN,2023-05-22,80,51,99.3921568627451
DEN,2023-05-23,65,38,117.73684210526316
DEN,2023-05-24,77,51,96.15686274509804
DEN,2023-05-25,81,53,90.0754716981132
DEN,2023-05-26,90,60,100.8
DEN,2023-05-27,86,59,93.20338983050847
DEN,2023-05-28,87,52,87.96153846153847
DEN,2023-05-29,71,44,86.97727272727273
DEN,2023-05-30,84,50,87.34
DEN,2023-05-31,80,41,88.36585365853658
DEN,2023-06-01,74,41,92.65853658536585
DEN,2023-06-02,80,55,84.69090909090909
DEN,2023-06-03,64,36,87.25
DEN,2023-06-04,81,43,107.25581395348837
DEN,2023-06-05,104,64,92.0
DEN,2023-06-06,85,52,91.51923076923077
DEN,2023-06-07,72,52,81.76923076923077
DEN,2023-06-08,82,46,97.17391304347827
DEN,2023-06-09,83,50,93.0
DEN,2023-06-10,91,53,103.90566037735849
DEN,2023-06-11,73,47,85.55319148936171
DEN,2023-06-12,79,45,92.8
DEN,2023-06-13,79,46,96.1086956521739
DEN,2023-06-14,92,60,103.85
DEN,2023-06-15,83,49,98.16326530612245
DEN,2023-06-16,79,54,90.74074074074075
DEN,2023-06-17,80,50,93.38
DEN,2023-06-18,75,41,99.0
DEN,2023-06-19,78,39,89.64102564102564
DEN,2023-06-20,83,48,97.52083333333333
DEN,2023-06-21,81,52,100.67307692307692
DEN,2023-06-22,90,49,84.06122448979592
DEN,2023-06-23,71,40,91.35
DEN,2023-06-24,81,46,99.1086956521739
DEN,2023-06-25,80,53,94.52830188679245
DEN,2023-06-26,78,46,110.65217391304348
DEN,2023-06-27,84,53,90.71698113207547
DEN,2023-06-28,74,47,93.02127659574468
DEN,2023-06-29,83,49,96.3061224489796
DEN,2023-06-30,83,48,92.02083333333333
DEN,2023-07-01,72,48,91.08333333333333
DEN,2023-07-02,87,54,96.57407407407408
DEN,2023-07-03,78,53,90.90566037735849
DEN,2023-07-04,87,58,92.67241379310344
DEN,2023-07-05,83,54,94.46296296296296
DEN,2023-07-06,69,40,103.975
DEN,2023-07-07,67,39,109.84615384615384
DEN,2023-07-08,88,57,96.94736842105263
DEN,2023-07-09,85,54,88.16666666666667
DEN,2023-07-10,95,59,92.13559322033899
DEN,2023-07-11,85,54,103.66666666666667
DEN,2023-07-12,81,44,96.38636363636364
DEN,2023-07-13,82,47,99.51063829787235
DEN,2023-07-14,77,48,95.8125
DEN,2023-07-15,93,47,89.27659574468085
DEN,2023-07-16,73,41,105.8048780487805
DEN,2023-07-17,77,44,103.54545454545455
DEN,2023-07-18,78,51,90.74509803921569
DEN,2023-07-19,83,55,89.52727272727273
DEN,2023-07-20,86,56,95.17857142857143
DEN,2023-07-21,86,49,80.63265306122449
DEN,2023-07-22,86,54,94.64814814814815
DEN,2023-07-23,74,38,91.02631578947368
DEN,2023-07-24,71,45,107.2
DEN,2023-07-25,69,47,102.57446808510639
DEN,2023-07-26,81,45,98.31111111111112
DEN,2023-07-27,79,46,91.0
DEN,2023-07-28,78,46,92.23913043478261
DEN,2023-07-29,81,44,93.5909090909091
DEN,2023-07-30,98,55,95.56363636363636
DEN,2023-07-31,80,51,98.19607843137256
DEN,2023-08-01,84,54,91.20370370370371
DEN,2023-08-02,77,49,100.3265306122449
DEN,2023-08-03,76,53,111.77358490566037
DEN,2023-08-04,82,43,88.81395348837209
DEN,2023-08-05,71,46,97.8695652173913
DEN,2023-08-06,73,38,96.1842105263158
DEN,2023-08-07,74,45,100.06666666666666
DEN,2023-08-08,78,48,100.60416666666667
DEN,2023-08-09,88,53,102.75471698113208
DEN,2023-08-10,82,48,93.5
DEN,2023-08-11,90,55,95.83636363636364
DEN,2023-08-12,77,47,83.70212765957447
DEN,2023-08-13,89,51,81.15686274509804
DEN,2023-08-14,68,42,78.9047619047619
DEN,2023-08-15,85,54,103.77777777777777
DEN,2023-08-16,85,52,99.96153846153847
DEN,2023-08-17,61,38,86.1842105263158
DEN,2023-08-18,70,40,92.575
DEN,2023-08-19,91,63,91.88888888888889
DEN,2023-08-20,89,52,97.46153846153847
DEN,2023-08-21,83,44,104.54545454545455
DEN,2023-08-22,80,45,90.97777777777777
DEN,2023-08-23,75,44,110.22727272727273
DEN,2023-08-24,74,41,91.2439024390244
DEN,2023-08-25,80,44,93.56818181818181
DEN,2023-08-26,77,54,77.64814814814815
DEN,2023-08-27,88,59,98.15254237288136
DEN,2023-08-28,74,46,107.82608695652173
DEN,2023-08-29,80,50,88.34
DEN,2023-08-30,93,56,95.35714285714286
DEN,2023-08-31,81,51,110.88235294117646
DEN,2023-09-01,80,49,90.73469387755102
DEN,2023-09-02,89,55,94.0
DEN,2023-09-03,78,47,91.91489361702128
DEN,2023-09-04,80,48,90.72916666666667
DEN,2023-09-05,66,43,87.95348837209302
DEN,2023-09-06,76,54,86.11111111111111
DEN,2023-09-07,97,54,91.87037037037037
DEN,2023-09-08,81,45,104.26666666666667
DEN,2023-09-09,90,49,88.04081632653062
DEN,2023-09-10,90,55,84.03636363636363
DEN,2023-09-11,78,47,99.74468085106383
DEN,2023-09-12,87,52,93.07692307692308
DEN,2023-09-13,79,39,89.92307692307692
